,ppo_eval,ppo_train_before,ppo_train_after,random_eval,random_train,strategy_eval,strategy_train
24,83044.0932648798,30733.019194873035,58133.29329713719,39295.810349425126,45553.90429735143,23445.175803099904,20052.55318630152
25,53581.58490451568,25287.388741761824,60851.17660687008,6564.916919035837,24814.623572413228,26415.216826879623,20169.706653334506
26,75281.39601700797,25130.85350809562,45036.79752654,46162.28272766594,47435.95968160007,22485.53308284239,20475.099738015153
27,92334.57190463762,33661.5684652192,40088.320688861975,39735.25344010544,19172.724093905606,20146.417387057314,20317.212889630697
28,75474.72213979173,17616.144115853458,57995.68057176916,21890.338141926884,24059.661856907624,22556.44724105748,19826.093919542094
29,78934.12222337365,34842.28242111852,61663.10879345331,83254.19089050297,43616.9454195055,23526.8123289629,20175.809639155254
30,60332.115066147555,35464.52185955271,51255.197485497745,50083.46576183889,-4585.691545639318,24700.13242637583,22221.097379308994
31,93490.08181168095,6912.530797045867,58469.07017061472,83768.99645033097,25420.424341185688,28789.080438943565,19944.775914606886
32,79235.72124856661,32567.129473079403,59565.637565486686,-1437.8956818725856,55555.998900823615,22907.883362538007,22545.78162739701
33,83268.77540276438,16664.890852071156,49499.124298089824,41169.08535889225,15412.183331312059,20582.663264420728,19699.956597350494
34,83042.82528931857,4459.504027615141,44254.53111266982,30804.741035390078,29828.672483579256,24582.996525107446,18456.917487200728
35,72119.37051337631,10552.247157417136,54659.32786609192,73043.52629510773,15561.707801781013,23241.228719191044,22015.412774361364
36,66590.23931926436,-5363.253140696514,49031.84479947554,19713.87521715679,5178.548327379729,22534.488528362373,18712.51663738671
37,81949.57888320871,47893.795386809186,43692.19535354525,15351.767536346742,19816.086924370044,25478.016548686763,21332.43224691083
38,87690.91901100622,2575.664006781226,53274.05190892305,126653.13001554235,9245.64020699318,21682.850606427368,21008.330100090243
39,77112.43857880394,25641.71147773732,54831.1787472624,-374.1203219605959,35961.982412413316,20896.37710781215,21880.665730770692
40,95717.27776500583,36278.346568034845,51967.16002685181,20834.494825038462,33607.0476281498,30320.051895807774,21720.091596811224
41,100940.66488117946,51752.359406076954,53009.08258783718,36858.12130775396,16515.6232653365,24815.313596954657,19069.63181657855
42,75567.81027027307,26703.512601282375,51781.60924063949,-12849.10172540821,51952.18242794357,28146.155843816217,21878.6793192912
43,63341.99928919913,18216.80154599958,48777.397901478485,39452.94343420086,35954.457815233734,23822.46663710852,21536.40440280795
44,70890.46265901584,29380.84748514289,61119.603147241025,53967.241677377286,19599.268662338858,23586.97204978927,19272.379741939832
45,83937.69614172884,14671.07375155804,44010.2914859599,32863.796337064094,19587.38188399271,28606.32067678796,20418.855209500034
46,81274.45862168967,21020.739349113195,56012.383520196134,42250.120626884076,23618.502552621736,24075.358227245044,19563.18498958087
47,53933.299465046,19453.471971496794,49421.18039549689,60751.004626671,31353.758478584903,25278.71500363412,19809.838645345342
48,71956.35244388951,12798.403537998165,46237.377572820726,30556.251926369383,11036.797795146136,21967.128094545435,19216.658754589633
49,79448.00360323055,38784.92573200181,48930.727851392236,28064.708184083167,-1923.9880230282142,22317.93823344419,20539.854219372428
50,97945.54632352557,31017.035074026557,49680.2270596351,6382.972405105611,25056.694292815824,25800.716008955336,20764.00896025778
51,89785.00803105006,12456.214206909484,52124.43147761133,11013.9763346049,35796.57059596357,24909.526387633203,20368.016160723113
52,88685.93992002416,18496.574300644992,63741.24915093096,62291.435298407305,33733.44192747935,23089.316007204034,19241.317874649714
53,68438.70935381833,30457.639164596738,43451.09715559351,100159.12163229042,25833.196847478815,23822.416420840455,19820.496703325756
54,63816.995490589325,45903.14460077125,53140.4753986258,38916.06105950102,34330.80205783888,23132.44450684602,20263.944696277234
55,86716.4395142216,22661.538484907825,46494.897615750204,35635.56478058707,-25.229258814360946,21444.216221328476,21160.70049827473
56,60439.65807903782,24733.147186385642,60839.68875905927,46445.16978844046,24106.52170755685,25055.348034404728,21926.753708042117
57,93371.70027788533,24339.21279065474,53339.71163017585,5222.228041808397,19369.486676105153,23702.930798516856,20783.94519002513
58,89245.31055794586,-3833.158062921095,51344.43997081541,84803.72236991036,32980.96379192764,23456.8102255556,22570.34858237281
59,67407.59511495245,31339.621404216887,56633.9078872184,16050.547519233063,55588.22105869674,23514.790126495325,18781.68707340653
60,84366.75489746427,18344.345643618144,57339.34246860439,35070.10755040927,41166.26154072484,20174.77684432453,21729.96388021583
61,101127.14241992598,22988.651597156408,56316.84990800888,25845.569087646203,76634.9650272518,20505.125103949875,22520.740769178316
62,75483.490862053,16342.447174183486,51975.27713588768,64377.285188209,16414.825415690313,23254.94821989609,20758.715138072672
63,72839.50633040437,44809.46405177179,54421.82539169851,17850.248441873424,25708.956692276974,24607.275425016443,21508.342002658406
64,80448.58187652918,39631.42388970911,65777.60882800055,57254.27698780096,24593.114754282957,20225.90186618513,20101.362540805945
65,75092.1660706005,10383.144383581763,57633.667483667436,54911.72265724503,383.22321894748893,21387.39925385418,21884.68433661561
66,54470.58109801615,31292.77722913865,54831.876601632015,79193.39432704338,23410.434092465977,24981.661308588038,18832.680199057577
67,78509.65316142139,13253.47450790777,46830.08489621041,36735.05072417145,33049.30825213852,23535.506492627173,23746.22265987088
68,82664.08012818504,14048.049618266377,52933.19360127923,78543.01680835898,34027.73062792214,24774.890568968724,19659.46493438474
69,83407.11839373072,13783.8280814444,45177.3033746779,21606.751455425037,20846.09338248479,24853.80222505257,20557.972265134784
70,72531.35035519837,16808.973542046704,63048.18272303304,89317.37253427433,27656.23322027549,25674.763606112756,19021.743969268107
71,103711.6526219226,9395.933759452673,47768.25298694603,29287.202868365057,20235.13482365408,20965.14391937667,21407.984704012226
72,64569.60440527176,40897.486739738,63152.22554399827,52764.819985572365,1524.9952617747185,24802.555687468994,21707.597806066522
73,86338.45604154211,13559.114189847038,48772.50913126586,44730.309111042705,26176.71102498386,23794.371967844694,19942.476709355265
74,84670.01250687116,16941.964404985847,56218.22951095048,21709.911232022147,14253.713386882911,24306.1699456872,22193.56389059474
75,78422.38710597155,41841.83208424554,56163.19738232301,-538.712317938247,10538.749822963728,24763.63129885556,21307.111740724256
76,89489.78761539442,28239.48040208631,64107.369035008625,37.435838886289275,33188.59801052263,19845.100840005907,22928.34327960426
77,91565.59592590298,36141.60690301962,57749.88260231877,20774.023851385937,24372.930338997772,21130.326627488466,20123.162296834693
78,61943.976467414584,20695.99086602035,50332.03642040776,24729.04136023979,35188.31807534379,25154.106499035202,20436.488993678504
79,89273.40772451655,25458.19584506769,53325.80903126372,14492.157535864302,18772.877720466277,25379.073279210817,20941.468719845987
80,75783.79478092244,5421.084016153138,52985.927861410135,95263.00401961678,12226.585438693292,25413.423975223137,20049.71997505102
81,82189.9149285022,32264.674947661057,48304.55478626894,67150.46091480044,21512.129164342972,25076.49796682145,20097.350932825502
82,59825.09194616089,66020.86601040507,54543.84020532013,16286.974598895162,27489.826455605056,23538.439318748875,19761.37597587114
83,59566.376482275664,9800.762276955356,54183.170863837615,53370.25914639392,36893.83132529157,26789.723090236395,19658.58209041068
84,76991.66805532959,45289.66995497185,59977.22202319716,25829.423710444607,15404.23046759628,22425.141978567175,21743.113116248933
85,88020.44365869818,18014.66900842944,49413.83792136083,-516.0244356008188,7523.609646788245,20619.134933459747,19693.260475567382
86,83480.11058004302,39046.82119452953,55901.42620727091,14728.074758271905,33941.06358393747,22059.28503725736,21018.95692716034
87,72151.9726447333,34394.592292167596,63752.233381679805,26216.957601870905,23890.04469890053,22050.788942141517,21331.54546077583
88,82238.56406551311,30294.90228430563,52555.150116842764,62795.91065813857,32900.6423897458,21630.82014462461,22044.55745101445
89,73804.47019967824,11281.765860752901,57711.642836848856,42368.458457902976,65197.17544577047,23682.26479749827,18009.933409333593
90,98850.2941071961,12876.686897039239,63315.53850253872,58339.586121730914,23055.301608980604,21347.915642119755,22415.439558487647
91,87607.10153211697,34973.15914835938,51263.69905875408,14561.6979353887,21013.337294371886,28837.327597721145,21533.807863816328
92,72165.7392645388,-7454.748550803328,47746.8561347691,12156.677512901137,20712.75076826742,21452.42129036998,20316.15793980351
93,82968.13167333839,17689.947618622216,42079.3804352665,25298.800418303726,47371.85596880116,22789.063846708785,20470.323736489096
94,72038.04223034487,28370.330135671582,49907.48985522232,20654.215826021507,18583.095773689856,23530.09715396301,20082.39147453384
95,122677.32515885524,34955.37048399291,50295.013201640104,-12814.58216678408,30166.370497606695,26904.968257408123,18906.420378453113
96,62556.516691184865,-387.0222927378345,48474.45784058861,11445.39002241446,27695.782242414818,25351.701467576568,19397.822389730558
97,78620.35272611293,23497.620164704582,43706.54279658216,64733.50347720948,13292.047876571989,22083.42272960859,20252.72119650025
98,76986.11632050615,37933.50969205925,50561.03949133115,35886.70381650014,37114.10872262469,23174.20735265175,19924.8872213445
99,88732.51520007144,14196.173055038467,56878.61507112536,6446.458385035381,24042.857877632283,23364.173780118595,23292.691297299418
