,DQN before,DQN eval,dummy,Optimization agent
43,-100.0,1400.483121395111,-100.0,2781.8550094366074
44,-100.0,1835.9394347667694,-135.0,2267.2880539298058
45,-100.0,2041.9501589536667,-131.0,2568.7581414580345
46,-100.0,2214.427453994751,-600.0,3277.8269144296646
47,-100.0,1635.3793922662735,-180.0,3042.397763609886
48,-100.0,1899.8692029714584,-167.98319971561432,2958.4764980077744
49,-100.0,2105.897966861725,-100.0,3630.323442339897
50,-100.0,1524.4370673298836,-102.0,2109.282801270485
51,-100.0,1927.5085601210594,-672.9831997156143,3376.5875193476677
52,-100.0,1074.2930283546448,-183.0,2630.1588126420975
53,-100.0,1699.135867714882,-183.0,3267.9074717760086
54,-100.0,1841.2536724209785,-260.7894138097763,2690.0884698033333
55,-100.0,1531.4359893798828,-100.0,2788.9775409698486
56,-100.0,1640.091946721077,-171.0,2667.7303106188774
57,-100.0,2095.628130853176,-101.99313020706177,2682.6147432923317
58,-100.0,2416.2348740696907,-107.98319971561432,2467.0640216469765
59,-100.0,-108.70171391963959,-146.1970261335373,3595.487080335617
60,-100.0,1945.8185494542122,-300.0,2208.15292853117
61,-100.0,2095.8493959903717,-100.0,3216.8280923962593
62,-100.0,1363.2478530406952,-298.11473393440247,3780.0178695321083
63,-100.0,1364.241114795208,-560.7894138097763,3580.435498178005
64,-100.0,1535.4390328526497,-667.9831997156143,2096.0654044747353
65,-100.0,1716.1923257112503,-27.503896117210388,2170.1931265592575
66,-100.0,1609.5101366639137,-131.0,2578.28804820776
67,-100.0,1980.5339054465294,-600.0,2987.482634484768
68,-100.0,1644.5996168851852,-100.0,3895.0211159586906
69,-100.0,1743.1146565675735,-105.0,2639.298791229725
70,-100.0,2035.2238357663155,-600.0,3151.9888640642166
71,-100.0,2064.775916159153,-600.0,2200.177685201168
72,-100.0,1848.0355635881424,-146.50420260429382,2817.0400671362877
73,-100.0,1013.8589800000191,-304.0,3082.8650082945824
74,-100.0,2002.8041845560074,-593.9236872196198,2537.282321870327
75,-100.0,1703.3001754879951,-171.0,3867.6157283186913
76,-100.0,1389.676932156086,-300.0,2633.378112435341
77,-100.0,1799.8027479052544,-110.80621409416199,2323.0207270383835
78,-100.0,1377.7275840640068,-200.0,2592.2359308600426
79,-100.0,1686.2317531108856,-689.0,2404.8674314022064
80,-100.0,1832.8847289085388,-300.0,2825.8183627724648
81,-100.0,2162.3036937713623,-600.0,2915.905211389065
82,-100.0,2113.2898589372635,-107.1685779094696,3272.732459783554
83,-100.0,1339.009260237217,-300.0,3205.039878845215
84,-100.0,1713.2178646326065,-117.98319971561432,2056.744454920292
85,-100.0,2218.891038477421,-691.0,3313.1499487757683
86,-100.0,2344.16306835413,-142.0,2657.083426475525
87,-100.0,1363.9979258179665,-117.0,3228.708326101303
88,-100.0,1977.1699991822243,-420.0482128858566,3820.1918816566467
89,-100.0,2100.6845539808273,-112.0,2469.2590746879578
90,-100.0,1781.5437519550323,-658.5042026042938,2797.4754472374916
91,-100.0,1409.197449684143,-200.0,2457.259508728981
92,-100.0,-100.59416198730469,-100.0,3466.0217360258102
93,-100.0,1939.3389267921448,-600.0,2966.054246842861
94,-100.0,2024.5971153974533,-124.0,2529.938178420067
95,-100.0,1677.4138646125793,-340.0,2869.198884308338
96,-100.0,1607.0088785886765,-567.854354262352,1568.3421589136124
97,-100.0,1970.2719167470932,-600.0,3370.788908660412
98,-100.0,1973.0014522075653,-600.0,3225.0265119075775
99,-100.0,1675.1394029259682,-142.98319971561432,2616.4535759091377
