,Agent before,Agent eval,dummy
51,-122.95410297175744,-180.50942813931016,-29.688160222154906
52,-87.26228562451061,-379.23555115366815,-130.69736952191133
53,-93.08970981004407,-320.26975520725756,-280.43045176047985
54,-49.47312558983718,-336.54059704908497,-424.7906043426811
55,-394.3587078220481,-354.88315847700693,-67.10718687032518
56,-286.1752924884066,-94.39255436909505,-224.79839763628252
57,-235.09005688036905,-306.1053783361128,-214.47038680939778
58,-62.05145396724908,-267.8180123732285,-118.5203564260216
59,-360.1805721759107,-298.5446348531813,-394.3282343646457
60,-61.31385213213084,-228.76944248556777,25.29027066488564
61,-64.01099160525268,-354.0269755301624,-217.95997904010676
62,-108.22758736139996,-182.5271467836633,-62.75806136559633
63,-97.31532574849075,-326.87322541344304,-201.52022490188676
64,-267.8954526936327,-340.7330631813659,-375.0507180023154
65,-79.05986672670261,-375.73857205866227,-48.31867515595017
66,-341.4532099498012,-129.0982596485907,-59.41216569257091
67,-120.7278823304785,-299.4325893956867,-136.28275440587788
68,-320.3476062823347,-185.7634672848897,-358.19777324402384
69,-137.48193566425965,-264.68494862332454,-96.14715654695817
70,-376.513367352195,-272.22674084343004,-262.7816408066921
71,-262.37521255495477,-264.0746653595984,-193.09555724329599
72,-112.92930206535591,-93.02838785394559,-286.2322002559057
73,-266.03430986210145,-302.6431052598828,-59.36584233966968
74,-98.72621378975572,-302.359100583853,-222.05989456799847
75,-265.55718499665625,-260.8291681909658,-84.9859395629576
76,-131.42065953296,-281.7059414124385,-69.94561452599666
77,-82.50389421681231,-322.0996345781437,-82.6830659958565
78,-128.28090733353054,-240.2211379500326,-81.1340663237739
79,-298.3518754180452,-343.77100510247556,-201.25866621613156
80,-232.59641683827027,-2.852596990562006,-102.00149009529454
81,-32.647636945695524,-137.46805938265464,-80.63578587022245
82,-80.35835504610657,-245.6868150800689,-360.77158552067476
83,-133.13394174593407,-156.03318136876666,-239.64710485437615
84,-149.72025351978607,-383.764671625576,-303.9173583876184
85,-100.98456934714355,-334.7856205493995,-296.39408201908304
86,-62.636681565302226,-237.81262089808394,-177.98884185426704
87,-219.47670075231417,-82.2957422871509,-329.00633547939196
88,-76.97782867028855,-211.7177326475811,-45.83488628973829
89,-89.64806324883628,-362.18559303165694,-209.0514356511084
90,-100.55993631275797,-228.83770360452755,-411.6065528539081
91,-109.98228184493566,-324.7669125373011,-87.17457295788213
92,-82.84988131287726,-208.57485386285998,-322.72590024052755
93,-354.62616074208813,-100.1538575124908,-3.7633905375930254
94,-332.04652050337484,-260.5257976654059,-256.7285726252466
95,-123.70806785335472,-177.40495181133645,-357.35483013022764
96,-45.920999495223505,-130.4300554594699,-88.46003391201712
97,-187.0796461081817,-259.1483195809011,-47.951386694639716
98,-334.3210352114402,-237.6813801424046,-78.6115538640864
99,-158.33839906586132,-328.37141924259765,-104.98892814945563
