,AC before,dummy,AC eval
90,-112.68629362706066,-92.40406898602527,-38.8509966145853
91,-221.60840954479426,-384.1215008911171,-39.351250667130074
92,2.4754586383229906,-124.57257180381959,-43.04359235594001
93,-175.29772017831243,-222.39962990467308,-45.862098137538474
94,-161.07223877901504,-71.0002761669626,-54.59165757492369
95,-372.3958994352928,-280.69827873465715,-30.484884620175208
96,-101.61114645169361,-382.81500587346915,-42.942081554548764
97,-101.17328879538525,-387.4229177735556,-45.32447009204303
98,-604.9527493567567,-118.89814652714834,-35.82774709072277
99,-504.81545085730306,-144.1424967084868,-56.68405134418659
