,ppo_eval,ppo_train_before,ppo_train_after,random_eval,random_train,strategy_eval,strategy_train
31,101855.9888739819,46667.2123359197,66771.34514890943,145129.09915316134,37535.53903746832,128037.19918848973,20588.49957246943
32,114286.48613548261,-10482.391748296097,73470.28859572666,45883.533174780576,28027.355398725733,120635.3864362413,15441.480916839457
33,98153.21884781873,44016.646109896305,58841.070221254806,150914.3495690405,47995.368811382185,112101.82173324993,21458.32510604996
34,180105.9102928067,41542.49169644574,73925.82838488181,110295.16800673783,3824.3929701253364,120777.33601297496,21277.804250616333
35,80245.14532693592,24068.449139205637,65546.53852343262,91284.41306711448,15634.563384733352,117280.7984813842,20656.026956145244
36,266917.4538983353,33364.40881829697,54036.02990584113,59451.08897321098,31807.993950941192,109618.96787919497,18228.61243946891
37,157805.4496542914,9788.012846872822,39557.41428415442,198972.82165474317,59800.56105033183,129532.2711843776,18948.7216497037
38,186274.18177701515,61255.617053527356,73516.6723724776,139178.0801258386,46976.64864781854,122101.28452882555,16726.51525660095
39,100515.62159230915,69491.00089858199,26670.109579886033,134238.10794174767,42418.71026220231,100388.58426005955,14539.663860286717
40,180460.8630646608,38797.45356584893,61608.489380790736,45673.14271378968,15761.404516515497,123185.31124192773,20281.90366638571
41,140141.03512543335,58088.628542661754,71376.00717534625,67230.71715023526,22433.809331675657,104951.87097581546,19734.476828000086
42,172777.8744831115,27132.384430527003,64080.396215422166,63179.85948053491,67372.86710863732,123022.19841006884,21521.58612620634
43,214830.88917092013,48499.00202351634,57475.7815517218,199273.47411213338,54355.76529680326,127472.56984650172,19913.525071911674
44,201226.88330626,74382.62220947334,78816.07161174587,46153.93392871335,20370.83467773725,124045.45719561816,18326.486739302956
45,228296.87096816074,14899.628685142365,71854.9410421697,59494.94731023701,28325.26326980989,108556.42699379509,19152.246682356737
46,246350.06715268723,49813.412735316495,77858.5767239306,37085.52222012286,75930.33645641533,129850.4831296883,15938.597836424044
47,163258.26769636903,21685.28206532942,76619.02291870074,74741.71553047825,7397.342571645509,113675.88165838568,18189.429608818697
48,201217.48993778904,30081.09330739874,89864.6640418187,33494.92568542776,59319.66966676453,117153.4980018163,17514.99157017692
49,247668.42366847908,7974.03864929585,53909.80167986799,141.7361599640717,26903.196718614912,112581.90620884407,16921.788568740725
50,182021.37232915673,47989.30923581528,99606.97907256777,65429.61016137613,38052.50252728962,123076.72144736425,19812.004763693723
51,172528.31024918263,67242.86386234092,55775.8549622618,119533.134854122,77456.9257800981,119582.94803832046,18819.372623866468
52,264055.54160141846,69824.77353417184,68585.1988479532,154481.8656597187,15596.702651582425,115636.06944037785,18243.665826238925
53,149691.79059194934,53331.06282763684,14364.283636230539,52880.06258612833,37982.759715273016,114885.35325860081,19810.66367211874
54,88717.64786172516,81343.25180608197,75738.290185994,45809.44972360696,28939.01688526853,117911.77811770915,19203.849226925915
55,180050.46271850087,25092.159188970953,74249.37926702225,157767.71103441544,54291.420112688094,111255.13433314738,19147.06009183108
56,150007.52641591677,57333.75985791438,77941.02175227742,107254.27606095508,81738.76548212799,113615.75930065248,20497.699793692766
57,213047.29136334488,19565.9717806423,80128.82922736212,-681.972314312603,85565.55394753089,111553.67822513601,22409.671053143305
58,116255.66761635017,90895.06889180143,43038.64230311787,56007.312733572064,46316.48117368252,114156.02316771704,22515.047923419275
59,111249.55811838622,50678.081430941296,62024.89358576969,102926.63309624675,70529.96415660181,119492.14578445052,17506.477453320374
60,120038.45334879865,36794.40077792329,71081.48855602395,69853.19473925309,42392.43638433248,128296.56201042491,16475.3591150625
61,119734.61620473911,64523.473631261906,68560.85035707569,111667.75620249895,77359.5676470034,120407.5451924387,21143.915810507926
62,114545.62095076503,56777.897802467516,69251.70742235525,202915.9244397235,64937.21062173275,122718.42840379995,17865.93297722729
63,121898.20515575746,11478.73690530374,73025.37842094875,121976.2735499012,32929.52473929967,106491.2129763958,17980.801953858143
64,224614.4462207955,74135.23347901771,77333.82142937445,138374.2232887269,43037.046155456715,114601.86514261703,17680.09502834869
65,193284.40580103738,8012.804066419718,75129.7030420693,46662.80224435276,28146.40516474632,106728.95270652144,16888.234062648495
66,151713.50289016368,10269.479277626247,73595.52681353787,225186.56842932035,25031.225631809415,113566.82982206804,16253.835022375803
67,199288.45066116354,18682.46945945175,52543.04911122462,117062.47631533883,27304.703212873428,111402.35799129991,24830.86907084893
68,169288.52414857363,-2906.0042316014587,62693.650060355605,30496.738164917013,32261.203019041364,125133.78506403725,19167.811165298786
69,153229.7697906971,38506.50529018458,76905.23058119667,80650.94885048232,87462.77131564627,117570.4745009623,18564.467633780165
70,192614.83377712115,414.0799431481428,68228.07570395569,117434.95294162369,-14231.302397945386,114943.39585577851,17992.120399510983
71,173166.09062176943,16298.46847248805,87260.17011408997,60294.39235259546,43124.688590244245,118149.06885297506,15811.673553526954
72,226824.18778885982,8138.373313964956,60519.09991303607,34698.249815539544,47311.75810554245,121559.69687509927,16843.973563148
73,48597.65645720955,38672.43284478251,74903.61356314592,148614.9745506126,24511.281510482702,120778.79778324885,19379.48525192261
74,95523.49534661739,16744.911406214916,48961.67182622143,-144.32995287809172,35081.02417388512,119435.10491137404,15286.491961396372
75,239498.33778889576,12714.27523357651,33664.070299529645,21118.70729273143,15354.432880994878,126409.95042436154,18509.331180569716
76,196697.44839404942,57586.8696639968,54706.696241128055,175018.24288292223,37908.94983562772,116595.58219166117,17406.45456060255
77,262106.71893418895,66982.01146735309,57304.973702919175,134226.04563619796,97567.47433845358,117023.18346211768,18645.18103447299
78,216331.75543345988,56703.64300746354,68448.29232401698,47701.93368853879,37959.65976757143,118513.3748909311,21222.371813747115
79,184681.27865439485,41602.259754234285,17316.423543599376,77856.97598472273,44174.80741546769,111672.9335094988,16297.745246363367
80,220486.13839589455,59409.42715635375,32759.31576023664,59584.34553266785,14271.210998535971,116229.00248450728,19930.77023425889
81,149076.03884512026,37987.65516536217,95758.53177197516,129941.25106196856,24778.760855047294,121074.61684311202,19484.491557076894
82,203784.87371526146,42000.256619462656,95189.84162156886,61759.95974680933,63856.876377405366,109276.96989119233,19591.180929608832
83,112595.09984060712,23709.276882358754,37132.50427047978,97551.88103034627,18817.211403739435,110697.50549767978,16714.25626628239
84,164856.36966777948,59338.64837376954,29830.91920514783,125970.57709047938,61023.46422224527,118535.55589312571,16348.830434577467
