PPO before,AC before,random,PPO after,AC after,baseline
-200.0,-485.56281757354736,-180.0,4479.24309694767,2402.3436896800995,2863.447975933552
-205.0,-173.00848841667175,-665.0,3918.268881559372,1868.355254471302,3237.9320111870766
-200.0,-100.0,-600.0,2647.355346083641,1693.9442461133003,-106.67045211791992
-133.07334554195404,-315.0,-138.00848841667175,1951.9122079610825,2132.6542435884476,-126.83562123775482
-49.42291074991226,-140.0,-108.0,-110.18443667888641,2063.087180197239,1971.2524312138557
-100.0,-600.0,-315.0,3010.423972129822,-121.79277437925339,-101.97540748119354
-100.0,-100.0,-360.0,4391.987174868584,1667.2920426726341,1977.8364370465279
-103.76997482776642,-600.0,-100.0,2584.534306526184,1115.837567448616,2464.2438694238663
-100.0,-112.0,-127.0,4791.925061404705,1714.0832750201225,2288.301872909069
-125.82376217842102,-100.0,-300.0,2852.1386370658875,1698.1585592627525,2951.228036224842
-100.0,-283.00848841667175,-600.0,-104.58794581890106,1700.7875428199768,1636.7141025662422
-300.0,-373.00848841667175,-300.0,3692.525528550148,2060.2231189608574,3249.263061285019
-100.0,-600.0,-627.0,2546.003938138485,2400.930214881897,2305.796246945858
-210.51497131586075,-290.0,-150.0,4120.332388997078,1266.8808969855309,2176.6377492547035
-349.5703464746475,-511.0,-154.00848841667175,4183.713027536869,1621.9227372407913,2232.1533892154694
-521.5054893493652,-150.0,-142.0,-300.0,1693.2092188596725,-101.97540748119354
-100.0,-113.50548934936523,-511.0,-221.50548934936523,-100.31812143325806,2356.88756108284
-100.0,-600.0,-286.2056213617325,3627.214884340763,1539.1639586091042,-112.31647175550461
-100.0,-600.0,-131.0,4823.317118763924,2325.5304501652718,-101.70217138528824
-100.0,-300.0,-117.0,3676.5834495425224,1454.7635169625282,3080.559176683426
-100.0,-100.0,-100.0,4686.49283182621,2045.1013199090958,2148.8076442480087
-100.0,-300.0,-300.0,2819.3154121637344,1589.2973138093948,2264.0073983073235
-620.0,-314.32676124572754,-600.0,4445.990556538105,2223.4236179590225,-109.0
-600.0,-290.0,-600.0,4125.401920258999,1749.0520262122154,2766.306536912918
-340.0,-100.0,-237.20562136173248,3626.086829662323,1416.4278391003609,2499.959502518177
-253.49700093269348,-131.0,-290.0,4453.870845913887,1671.6918790340424,1661.43868881464
-100.0,-241.50548934936523,-100.0,4249.264320790768,1851.1866070628166,2161.8434225320816
-166.3101898431778,-300.0,-300.0,3613.166872382164,2400.735163986683,2858.009391129017
-100.0,-292.2056213617325,-160.27896690368652,4695.778523862362,-108.01214838027954,2305.6719567775726
-100.0,-100.0,-228.6332277059555,3679.680079162121,1185.5354484915733,2065.300726354122
-537.2056213617325,-137.0,-100.0,3337.6486943364143,1971.7648130059242,2162.7280321121216
-100.0,-237.20562136173248,-600.0,3521.70541626215,2264.107078552246,2134.903477728367
-100.0,-100.0,-112.20562136173248,-101.81216394901276,2303.0556064248085,1752.2333353757858
