,TD3 before,TD3 eval,dummy
33,-1060.506872323582,-388.51841120213226,-1553.294608971018
34,-1019.7068167743769,-12.813820703028876,-1492.4575693819575
35,-1353.22354353636,-341.8045325466019,-1554.4699103706726
36,-1038.0376652707437,-139.90325468380746,-873.9358593028521
37,-1265.1408281421905,-1.5568950952667389,-1066.9033374753249
38,-1068.2949672171576,-495.39046081425533,-1007.797845982103
39,-1777.8878731186373,-657.886785146376,-1446.4155574620384
40,-1343.204223336431,-386.20179388158374,-988.1400851665817
41,-1610.8192930866599,-138.97297729766788,-1083.6864763488757
42,-984.6111016368561,-138.80448463443042,-1075.6970233141192
43,-1148.8773436181093,-139.96849685671074,-1482.368756852397
44,-1787.8239928741923,-2.032256025399192,-1642.399407784184
45,-1866.7896600256167,-335.8210654761793,-962.088469955834
46,-1234.8109255590941,-136.45292467969114,-1549.663871612252
47,-1044.258155441587,-309.8717886673553,-1379.3295474868144
48,-1164.5958300240477,-12.293698788876654,-1145.377010592969
49,-1858.7518230912428,-319.1806249927865,-851.8104092680114
50,-1031.5025177434293,-136.0100146502554,-1739.2941220424443
51,-1326.3554526337796,-366.8160818596242,-790.3876507079572
52,-1492.9252855875893,-387.47548004916587,-1062.769493306667
53,-1632.7709797937769,-1.9958956310358613,-1236.497839717347
54,-1702.4348994914565,-12.216386992740958,-959.9886587126978
55,-1168.6777552578935,-126.1953174055532,-1790.0941512578715
56,-1506.2567779986193,-4.309573416100292,-1320.827705825006
57,-1791.118499783909,-1.8077382058296774,-1077.1723133147675
58,-1066.1856942085635,-242.47836086514124,-1588.4379351793846
59,-1857.6784553102987,-140.63068770601527,-1519.3518645637987
60,-1650.1630731042903,-132.5337950170843,-875.6033629810183
61,-1246.1430041815431,-248.13533335862365,-972.1552736378562
62,-1146.9355895390413,-141.55797511531725,-863.3697551214226
63,-1426.2545521068253,-264.07171767404515,-976.1501812555332
64,-1283.297056328239,-251.16069078994784,-1346.294690739963
65,-1103.9749176935657,-126.68575706386643,-1711.4943112411806
66,-1153.8471129193395,-126.32376565851196,-1780.3703635054192
