,Agent before,Agent eval,dummy
40,-401.17547734627334,-293.19368004526007,-245.4731938368062
41,-178.4861052594567,-374.5481725158674,-386.70823062149475
42,-324.1077676545194,-185.8480477446509,-251.745006759948
43,-149.8388369435222,-353.46934503859404,-297.1382916153318
44,-339.40009497165846,-96.7970862024441,-168.68362036563667
45,-96.83302890052526,-91.99648928764434,-255.50152429514463
46,-147.80086950087963,-355.17234789669413,-67.6553568085366
47,-447.9433435265132,-378.6283541630672,-94.66765263334358
48,-117.9418612997965,-128.01996905999823,-293.3964182543126
49,-136.20704962985624,-260.12140829291167,-327.53722581542036
50,-300.39380102905704,-127.82529847509485,-369.70029416921426
51,-364.183798677558,-332.87798137673144,-220.6257268302815
52,-269.1608093083732,-147.05344614156158,-220.64084070903905
53,-115.02316855130677,-193.24893159680323,-389.07466115900826
54,-204.0082044591685,-366.9444706209313,-82.43357054626873
55,-166.8309837167768,-234.81980529136203,-89.89198676645638
56,-99.0697186003328,-127.16959015802749,-138.6804615211924
57,-407.6666412906351,-273.26072183734254,-37.16804822060724
58,-275.9737484229538,-310.33326789123913,-275.870602464773
59,-138.31528979925787,-153.92712653932566,-97.777590085531
60,-250.72945756942656,-43.32031277805003,-171.34768856041993
61,-380.42832189507476,-77.52446279034187,-92.8080766715022
62,-183.6616919784961,-127.31480473439372,-403.1601518499286
63,-102.68120993619989,-360.1239677592382,-66.86784500878771
64,-47.378832462478364,-173.17243763922534,-351.39224103308305
65,-90.43394278431742,-261.1502882174185,1.9954001569165314
66,-108.85611687965127,-273.2605256979516,-388.87871487660084
67,-322.7857695697745,-46.92416639916134,-446.19653015385757
68,-117.09653092891607,-1.192953620530261,-315.58924524931854
69,-94.34111891796053,-98.19336433573748,-352.8971736871799
70,-137.56967784675055,-176.8773366426271,-166.79096079906134
71,-105.07548557982733,-301.78622713355844,-292.5756528446857
72,-233.77447434394668,-557.0558226935966,-68.98362279549337
73,-169.4204456812262,-118.90501816300048,-177.07265028650352
74,-292.9932605464893,-115.90900149306204,-104.16289548914804
75,-145.3426269341073,-167.59833960415813,-110.97316485238464
76,-87.342478082179,-382.39808848415174,-75.3216114686281
77,33.20937832175099,-292.21277442047693,-83.31661250333232
78,-262.2770501346202,-262.5462138799514,-62.27758380752306
79,-314.2463497791616,-388.1212336759952,-133.03157993040622
80,-83.54177966657375,-334.54959471958176,-430.47630923142606
81,-243.56048539982834,-254.63185694085598,-266.53132085614686
82,-45.2159352146542,-180.81529675494176,-86.69672675947284
83,-74.58352379078285,-108.76315867339822,-263.1459452594397
84,-129.2426652748009,-112.72618432292816,-70.54093166909281
85,-186.5360152008584,-192.46988915515084,-399.9734932529695
86,-213.82428003090064,-390.36658076923317,-92.75289677694825
87,-357.8467398198097,-297.3807150016104,-357.25894914583546
88,-229.59292064657578,-346.6386842969646,-52.10474511221089
89,-63.63282772989163,-317.55956898888326,-292.3309380237888
90,-138.93146281456882,-506.35990189767455,-413.9433499579824
91,-326.5731086893371,-527.5748150523084,-194.9575304566213
92,-144.38548311345306,-263.1069894347655,-337.8134471812243
93,-304.28784111717664,-72.59933796669509,-106.74432008007547
94,-366.37581356847295,-417.893702695523,-245.40321068395258
95,-287.34344499116924,-137.73445391267794,-373.24304404228315
96,-312.13508648793396,-312.82791465396133,-190.83322168117934
97,-336.1538831710275,-130.03400562754192,-111.82944358569284
98,-398.5220047925899,-175.76800675208585,-27.684284245939963
99,-84.6136481487737,-151.12084440327487,-108.19208114748619
