,agent before,dummy,agent eval
38,-88.43613400451659,-205.64772833963664,-118.49822967152359
39,-270.2336811755621,-401.0324928848271,-149.93181758992324
40,-98.62816662965596,-347.13181396255504,-241.33768872047486
41,-120.34898352348958,-31.383434160224155,-282.52278947875914
42,-219.662211141093,-105.88514886845533,-201.05405290580657
43,-86.90663135709897,-415.0848984835771,-51.555466910988564
44,-99.10502565163625,-71.20676289699209,-318.7854889146354
45,-373.146556963163,-113.25573627560624,-73.77929933089544
46,-266.8438666520166,-301.60540821935535,-323.68794178822526
47,-225.2866823828714,-80.43045998339696,-343.38628609314924
48,-126.93929051449817,-301.22944978401506,-87.45885205281972
49,-133.42823001078727,-101.06754945097899,-1.6533776218151774
50,-190.5572729736672,-304.5356169555538,-273.669819942029
51,-356.19793293281697,-215.53498818269617,-133.80436254631763
52,-300.81435223557753,-59.83830809397436,-184.10503903462836
53,-285.05702469080427,-130.97202066934145,-140.28528138788278
54,-274.619901216592,-163.0008922087797,-247.056331421335
55,-26.73243774478337,-202.15476161064478,-49.853895823382594
56,-73.4602887395038,-213.57486091818066,21.25617511621025
57,-191.75576724977324,-357.5615168462664,-387.42815261992143
58,-95.78532734726559,-160.39846528035332,-212.68447172491867
59,-148.19284456462555,-337.5117015479753,-174.4002564752887
60,-386.0005966142929,-124.4268200848179,-123.01183128321972
61,-284.4569382578959,-352.8877629404666,-175.33681665842803
62,-218.56950831450916,-236.34218825008966,-289.58934519761715
63,-359.0767679265165,-16.66608606800385,-1.6896033641541996
64,-238.3900373907701,-277.73353098759037,-169.62939764700474
65,-322.03010662968234,-123.3043568975622,-236.20036297439296
66,-73.8217132905451,-62.584166764585206,-44.698954383576186
67,-484.3044984551914,-318.2692960331883,-201.78985409784428
68,-93.14555946882422,-22.293317719125966,-239.25577557629936
69,-399.63790511102695,-323.19617868776265,-18.703599306901026
70,-300.57003443406086,-258.64074901342593,-135.66865896801326
71,-208.2795462005729,-130.14905330334162,-324.6095984023452
72,-131.33899876485918,-54.30665658498027,-345.85006225406715
73,-116.53660685374676,-257.335262781305,28.023715739825327
74,-372.7106677530962,-192.9259282557053,-31.780811911009913
75,-136.53607194302322,-250.14064238876148,-37.619779462861324
76,-140.1890668899565,-70.29543315997213,17.298494425104735
77,-94.86071234037384,-107.1066874535788,-286.12073726497266
78,-101.68581526665442,-160.2377156114893,-189.1314932094266
79,-66.31993032358966,-257.47404107379987,-70.82548400541745
80,-270.45484929616714,-128.0528685476601,-160.88461258658162
81,-149.76716062758334,-289.1723751952004,-178.79051866028928
82,-127.45732743830101,-342.4658689068808,-156.75456273127742
83,-150.29294104849401,-378.17153337584426,-165.90288703777534
84,-205.82961415725254,-163.76601896888315,-211.41089846969183
85,-154.7299108784337,-315.3633022835695,-6.500021715643056
86,-144.22789522041847,-384.2793122890289,-41.063622855952936
87,-357.5854960968402,-95.54975938018632,-169.7906880756164
88,-132.6727248221016,-28.386531099258292,-298.33904676580596
89,-67.39647215509265,-106.11725438487748,-296.8639616185058
90,-27.198925586973616,-67.10082015103809,16.070579753610048
91,-143.5612058084722,-258.06802536384646,-212.49576212060742
92,-239.7430779124583,-47.239677876940085,-246.38643872940355
93,-265.9114948181716,-190.6563002575483,-188.82903058980583
94,-279.75723871521234,-419.8318181768365,-228.2986845701769
95,-88.2418725139206,-307.496088254368,-119.47165669908767
96,-78.08058741344618,-169.38312096282013,-360.03477925732136
97,-203.26596632514605,-153.39574138648084,-83.89690504773361
98,-429.2280864407243,-233.29205320015143,-138.53860881754835
99,-286.39917977095854,-88.86206741005223,-20.908677331426617
