,ppo_eval,ppo_train_before,ppo_train_after,random_eval,random_train,strategy_eval,strategy_train
82,48062.09386058088,20267.42580228507,35046.158679430635,11992.937273059113,4445.319943850132,20154.23100183402,33139.51304418547
83,22343.127975586976,24820.94087263968,36277.188444332656,52222.44006835154,26137.33717449094,20126.83737091726,31632.30445006519
84,124484.43181493712,50646.2725968929,37795.109295986535,28085.20514178781,7155.958939893768,24673.033463015774,32182.787757037382
85,23640.87854694882,44364.5923730747,48881.317804248916,79097.07897383219,36960.55935132352,25683.345945938898,32384.406244323123
86,56130.192052585364,5421.139093647056,38211.17890183453,-6804.6101108137955,3587.7492119721865,22486.79679937921,30793.96220333426
87,18242.742325363273,8458.228869853061,30454.381543087948,7704.870064519753,6818.671281809802,21461.39688293723,33806.75368799304
88,28297.312209247393,7255.675167529407,64470.24510155761,4087.2755901893397,25066.868911259546,23272.234296705326,32735.756172649853
89,47153.58605536018,32907.74245633648,29586.342029738385,4772.833832175136,29386.589136097566,22242.076693452793,30888.74110238877
90,37590.073202065396,20681.020256141288,27124.105556605704,4829.134803949157,17107.569836383103,21278.750014477875,33270.19209962286
91,29738.45895306101,33617.517215262575,47296.17236538493,1603.0826963453292,37521.1518568559,18784.59285781074,30802.316029854963
92,55345.81997622727,34842.02653520007,34793.89874269086,6298.587768367637,11365.142826224634,16533.910762353917,30660.139992738623
93,57354.0766455376,33063.56702710304,61812.23553788153,26386.537690858167,5965.704684570839,22762.0726620552,30845.69616935261
94,27436.055197133115,21910.868353512153,24525.013740945942,52892.86755317848,-13391.664336484362,16918.271304342124,30467.621981805874
95,95532.37844877027,14405.650755600975,49356.28275334023,32825.00137857508,33989.201354792225,13224.76647441175,31804.82804086563
96,66002.56781224912,9041.481345923952,43248.993999155384,63425.751645815966,14927.393539735902,20754.769549625344,32035.599317463813
97,33807.45355912743,16918.61385039304,36558.988341918215,20718.933396651933,14480.003750699427,17308.87003286634,33045.0645852763
98,60362.49679343778,2055.916291315094,51989.67520683477,35866.70091783482,39103.63514270412,16037.514775302523,30365.371391235953
99,35130.15848815598,6432.484932181833,35587.46431547476,25220.67555605156,18915.66099176358,19680.318691288165,30699.24559551518
