,agent before,agent eval,dummy
0,-109.01374937565282,194.08700058546992,-122.81447609160121
1,-135.6466071214583,180.61571208422885,-166.70729481494953
2,-206.2354326455858,181.47030344532146,-213.09822343869774
3,-100.47742335796863,186.17728156655227,-266.22037538824577
4,-283.175460710499,133.59282736723867,-73.69881635661626
5,-329.28058979869684,-50.78989636000211,-373.1471206246566
6,-21.81272033688495,212.70927983318737,-248.19137270532838
7,-115.5327937580882,222.4832372915916,-107.81170748091199
8,-135.07870916982557,189.54677090258272,-86.28236339961019
9,-109.27700743198525,199.10271405725604,-245.3120913929475
10,-129.57724958143677,213.02376356952408,-129.7042256436494
11,-111.72552193934095,162.50294843634418,-131.81389550800353
12,-310.31010655794137,-65.45999079951007,-96.25512234872029
13,-64.75965807593272,216.15864171826507,-147.10645830577465
14,-77.96845861736138,210.72890016497882,-107.02473507421988
15,-125.20473728058903,-42.43791069288652,-52.274217628034236
16,-123.79428389685918,263.7450095528877,-191.76622211974805
17,-222.95752663005283,194.47205895894737,-104.76613495210829
18,-52.79093534428718,217.67593418603144,-235.59171397113263
19,-293.4250077290601,-43.585740782964294,-97.73118438983269
20,-307.62463513033686,-41.43248358946737,-453.54439857826105
21,-165.25624890725157,175.73837386608156,-93.47762696284086
22,-115.66585154672026,188.1123708065878,-250.62241773483376
23,-94.6659898588042,167.65641728024602,-107.67611545197595
24,-318.0496044823467,155.4209559496832,-110.18832352952913
25,-194.48652827694855,-39.11162449293264,-196.73133603040782
26,-135.86121947217288,116.7029027027481,-123.34207285832471
27,-182.16643725119582,230.58648260941297,-103.48540509227706
28,-99.6151040944623,192.94328999736675,-159.77468684552895
29,-101.31348571131046,172.14156060356544,-123.3036083639843
30,5.348192598112377,-39.157645607629206,-91.43039825973696
31,-96.56740294783154,38.18063106513096,-78.12813631863624
32,-121.91189625580813,222.66852826147064,-264.50349051928936
33,-104.3591194634504,146.6073356351028,-146.82559283022124
34,-132.8304800689889,165.60633132195574,-112.25833739420865
35,-72.7253155562093,210.824881891734,-113.63155757188275
36,-216.06137955202428,198.23764639684106,-347.86358442200117
37,-165.52545248972433,-18.616457309013697,-345.775508684718
38,-327.663947129975,196.27555275065552,-278.73344696314985
39,-136.84369132391487,222.3702967415518,-228.29745435203586
40,-121.82072649664858,264.934427422751,-107.38885492402781
41,-80.91269812171049,-142.91546973133836,-244.06494753355506
42,-134.71238030286634,150.97031760941692,-219.6742759413703
43,-66.85595883261865,-64.48074841295616,-35.36855334349637
44,-130.18066449067635,-59.39118592730115,-126.7925947735913
45,-155.396001880865,213.00416413253828,-73.08267743144884
46,-246.79542433510878,219.17032736402427,-340.48590025530416
47,-167.21673459339758,207.46062409082393,-103.92382216750886
48,-128.16706500814539,263.99673859078985,-270.1327026225531
49,-313.0485893045351,179.51382897883892,-83.20505543494892
50,-205.46332119327013,189.01971930173937,-116.32151474812056
51,-90.32362939198046,220.24413781379423,-244.58661520498518
52,-99.51436151615289,204.20759925666616,-107.23172880582226
53,-84.28873789887733,-85.27580634085356,-71.17032930804322
54,-148.48668386929307,186.99233734752124,-97.0820143097156
55,-70.7198312118964,226.6073674082102,-114.55022713375801
56,-143.83048925519572,186.2676604405794,-188.07583032923117
57,-173.22913081597983,206.94253475827693,-8.590009422825645
58,-86.80724184543708,-98.8870313179853,-79.34883875615967
59,-78.80513419520854,207.69391465357336,-84.05458469728
60,-272.13621821001414,208.45627383203248,-283.6084934257964
61,-198.55268499642256,-35.09589775075358,-141.70363793725664
62,-81.76748548880342,137.3590861827704,-371.18314334195617
