,agent before,agent eval,dummy,Optimization agent
45,-695.3218316435814,2786.8304314017296,-100.0,2195.3756222724915
46,-600.0,2346.6234629154205,-300.0,2670.5745179653168
47,-100.0,2750.508406639099,-300.0,2748.154846072197
48,-142.0,3597.077949821949,-131.0,3006.364686727524
49,-600.0,2665.241337954998,-128.0,1285.8546860218048
50,-150.18132519721985,2298.7850880622864,-102.63641518354416,2790.76643961668
51,-662.1405064463615,2521.028928220272,-203.7997888326645,3966.560882329941
52,-100.0,3041.3985472917557,-357.18132519721985,2597.4254467487335
53,-600.0,3460.7237585783005,-600.0,1991.3200294971466
54,-617.5061185956001,3068.7893359661102,-600.0,3276.9740058779716
55,-142.0,2308.9226033091545,-317.36474204063416,2203.1254855394363
56,-600.0,2491.6619737148285,-135.0,2893.4898095726967
57,-107.18132519721985,2613.542599260807,-600.0,3274.2606850862503
58,-318.14050644636154,2714.325541436672,-135.0,1468.1971136927605
59,-600.0,2548.9579550027847,-108.0,2496.2732603549957
60,-600.0,3067.8248829245567,-600.0,2623.7519240379333
61,-600.0,2921.6016752123833,-100.0,2336.58887809515
62,-600.0,2838.1825562119484,-340.0,3682.4727870821953
63,-150.0,2564.1654703617096,-100.0,2368.0765473246574
64,-600.0,2608.993629217148,-167.18132519721985,-102.0
65,-600.0,2251.2292348742485,-100.0,2657.7743649482727
66,-600.0,2437.0832386016846,-600.0,2385.1714351177216
67,-617.1813251972198,2838.5690510869026,-142.18132519721985,1397.8926628828049
68,-108.14050644636154,2960.7019745111465,-604.7400841116905,2551.8741065859795
69,-173.0,2687.0275163650513,-300.0,2775.9531543254852
70,-100.0,2665.7774126529694,-109.0,2119.8740150928497
71,-600.0,2690.8086991906166,-100.0,2990.1515350937843
72,-157.18132519721985,2798.4682970643044,-290.0,2496.046429514885
73,-102.69119375944138,2629.6344888210297,-138.78090286254883,2457.5208029150963
74,-510.0,2914.074531018734,-104.39936649799347,3249.299534857273
75,-600.0,2627.0694952607155,-300.0,2020.9339452385902
76,-300.0,2917.929691851139,-600.0,2706.529543161392
77,-600.0,2449.5090914964676,-300.0,1173.372555732727
78,-112.0,3029.719764173031,-130.14050644636154,2420.083012342453
79,-158.0,1922.1864024996758,-334.0,2901.796805202961
80,-537.8792397975922,2439.8044788837433,-333.0,2736.375191986561
81,-373.5724081993103,3003.5585461854935,-600.0,2541.314048886299
82,-135.3218316435814,3068.8326632380486,-290.0,2056.5703377127647
83,-143.59957766532898,2680.045123398304,-110.78090286254883,3089.400487959385
84,-123.0,3319.0066744089127,-109.0,3514.326422691345
85,-131.0,2113.980091869831,-340.0,3396.3984614014626
86,-100.0,3075.1967968940735,-600.0,3101.8820288181305
87,-383.0,3013.9270175099373,-600.0,2942.4425215125084
88,-290.0,2389.2317436933517,-104.59957766532898,2215.5350911021233
89,-128.0,2828.239056289196,-600.0,2643.8615211844444
90,-600.0,2403.6221353411674,-600.0,3205.7168211340904
91,-600.0,3133.168296635151,-160.69921499490738,3803.9541969299316
92,-300.0,3052.174619615078,-111.0,-102.0
93,-600.0,2389.666324675083,-158.0,3550.2708490490913
94,-100.0,3087.749800801277,-300.0,2701.316177725792
95,-600.0,1203.8289322257042,-100.0,2403.6786168813705
96,-157.0,2415.8918411135674,-300.0,2925.1147861480713
97,-625.1813251972198,2309.0720737576485,-162.912866294384,3032.006413400173
98,-600.0,1921.2820600867271,-105.0,2077.650901079178
99,-600.0,2633.4736472964287,-100.0,1505.5706809163094
