,DDPG before,DDPG eval,dummy
57,-1187.6327175880197,-630.1984737584125,-1135.915124981936
58,-1405.2524287117335,-258.0707639363545,-1860.0512774310696
59,-1680.0993252113772,-17.036925895858666,-1197.702187967362
60,-959.4127024432399,-268.97973588969705,-1072.4179928130725
61,-1351.0439658398989,-131.69824847610374,-1022.8210807673202
62,-906.7860647963876,-140.1938006212442,-1665.1574716416017
63,-1427.049310070133,-257.1270603698429,-1183.8967757711262
64,-1563.838203236166,-132.0368211128051,-968.4837373952872
65,-968.0919320796107,-138.36368857784598,-841.6714823113014
66,-920.2870245994417,-140.43459953086327,-1414.6894104580751
67,-1716.584633676096,-133.77371724377898,-756.9446247736729
68,-1410.5606025598354,-140.11931141934494,-1649.8013572802106
69,-1441.7686231779057,-256.97468618126254,-983.9265475228508
70,-1164.5394686685358,-134.1859922463042,-871.3118013483218
71,-1303.2232715707746,-15.792617684490363,-1165.4936685600383
72,-1204.3931940528173,-369.2920344282927,-1536.209767410639
73,-1707.4693246763136,-138.23669140447606,-1748.8348740202582
74,-1743.0720619441286,-521.1703464755103,-1177.7862713900481
75,-1328.1405212539366,-690.3658231131177,-997.668608034606
76,-1362.3841109878617,-526.3563310058857,-897.1124195388093
77,-1819.5790245402331,-130.41834961137207,-884.7601842921995
78,-1819.5957829398603,-257.3261610757087,-795.3379139965754
79,-1643.8375030223083,-17.64987556928064,-1213.7901195752358
80,-1091.6953800949639,-253.04812733617445,-1714.5891567861404
81,-1618.2014351227995,-137.77833262344035,-972.9030337063891
82,-1230.1079540706978,-142.47430222564884,-891.0096813873157
83,-1065.6887617517932,-137.111750799093,-1236.9813315049983
84,-1034.8861758294534,-253.19551605275208,-1530.055482869148
85,-1568.525791969257,-250.13277670109835,-968.5943711550975
86,-1044.6424005411377,-249.4200021521659,-983.126615153798
87,-1151.0792634616173,-139.02169214939022,-966.261916658505
88,-1295.9741297744513,-148.3823449537337,-989.4869873554012
89,-1212.459867447576,-302.8376150019379,-901.3706126153464
90,-1179.34981505846,-362.5799164584919,-1373.04394355839
91,-1303.5914727290146,-389.66043237421917,-1347.251177235567
92,-1184.4894707445549,-12.993644249073181,-1795.3340467094592
93,-939.5169170718291,-13.067199978495655,-1441.6666335590878
94,-1312.8832429152899,-381.86750808493923,-1068.1957575694455
95,-1688.5012399383452,-246.97381656388347,-1292.2543986095557
96,-850.9812146741899,-130.38498310563347,-1563.886474047296
97,-1182.3737775837558,-15.13161808692597,-1165.4264385389733
98,-1467.138209163618,-139.15807107009778,-1339.9387031946521
99,-1715.7583222840635,-132.25102014780558,-981.4211570311023
