random,PPO after,AC after,VPG after,baseline
-117.26520651578903,504.7776154279709,-112.7158631682396,-76.77046573162079,-107.05994862318039
-300.0,176.17816162109375,1505.6598086953163,-79.92275333404541,-136.0703935623169
-300.0,498.4236351251602,-119.36473828554153,-71.58039450645447,-106.83919948339462
-100.0,484.51977103948593,-117.7292902469635,-76.3744066953659,-104.94201385974884
-155.0,481.5429413318634,-118.00246357917786,-69.09224873781204,-101.75239843130112
-128.0,639.6913185715675,-120.81220072507858,-45.81358075141907,-112.20626300573349
-115.14288306236267,613.3599262833595,-103.75202876329422,-73.06755268573761,-106.65268665552139
-101.0,713.8455140590668,-100.26825952529907,-64.32857310771942,-125.87780356407166
-600.0,479.5460149049759,-104.22892844676971,-77.70458906888962,-126.71895736455917
-131.0,302.4692248702049,-102.3123590350151,-64.79171919822693,-141.26751667261124
-600.0,579.3501911759377,-119.77945131063461,-81.1229099035263,-141.30456227064133
-135.0,712.3408868908882,-118.3012964129448,-64.26654028892517,-117.16891741752625
-150.0,509.5034373998642,-120.5154156088829,-80.0267333984375,-116.15122437477112
-180.0,531.7729913592339,859.6293837428093,-74.69952648878098,-115.3615728020668
-168.58099085092545,213.0540981888771,1705.6055427193642,-64.63054394721985,-101.66944396495819
-300.0,466.11473047733307,-137.75202876329422,-69.9086481332779,-125.82109302282333
-303.0,324.5263999700546,-121.3882001042366,-72.13620072603226,-129.39946180582047
-112.0,502.3375942707062,529.539981842041,-71.76531046628952,-106.9594954252243
-147.0,456.0108243227005,-137.0,-74.6082370877266,-130.48376923799515
-592.7837474346161,480.32086861133575,-121.9292271733284,-66.30969202518463,-122.72249376773834
-118.0,476.0843542814255,-102.30348461866379,-73.77776730060577,-100.34373897314072
-100.0,680.0434429645538,-113.53882968425751,-80.10857331752777,-102.75202876329422
-200.0,533.4246785640717,-100.26825952529907,-64.64837175607681,-102.75202876329422
-144.42853790521622,604.0872395038605,-103.75202876329422,-79.90804153680801,-109.33725148439407
-112.0,90.81167209148407,-107.60484045743942,-61.70943999290466,-144.0893525481224
-131.0,436.9543573856354,-111.58099085092545,-66.98478949069977,-102.75202876329422
-300.0,689.5042582154274,139.47108709812164,-64.81857615709305,-130.13189947605133
-600.0,739.2351707816124,1884.7121041417122,-75.51999515295029,-106.40773719549179
-135.0,501.5409749150276,1220.3983518481255,-100.0,-117.16891741752625
-600.0,466.6728666424751,1469.561035990715,-68.48357701301575,-125.5772596001625
-600.0,564.903890132904,-125.83998984098434,-60.400852143764496,-121.18299543857574
-600.0,503.7727870941162,-112.70689260959625,-68.6016315817833,-112.81295168399811
-220.0,450.79476594924927,-109.26825952529907,-81.70330965518951,-102.75202876329422
-157.0,520.9979301691055,-119.38442713022232,-62.99043756723404,-105.67612463235855
-300.0,361.5648242235184,-118.57782536745071,-65.58959448337555,-103.86789637804031
-135.58099085092545,670.4353358745575,1808.4995239377022,-100.0,-113.26825952529907
-600.0,668.9677901864052,-117.49328464269638,-75.43032795190811,-105.73803859949112
-300.0,619.7677090167999,953.6900017857552,-80.5652905702591,-113.26825952529907
-618.0,562.143305003643,-119.84112048149109,-71.25520437955856,-102.75202876329422
-309.8492503762245,467.0297192931175,1004.2959660887718,-69.37418007850647,-102.75202876329422
-300.0,451.4284253716469,-103.60558331012726,-73.13725560903549,-137.0647828578949
-180.0,532.8368121385574,-100.11982053518295,-74.40272933244705,-108.87196099758148
-618.0,472.3984104394913,-137.75202876329422,-82.38341492414474,-117.63860720396042
-220.0,609.6224703192711,-114.48051851987839,-65.24812144041061,-115.3615728020668
-600.0,386.5280051231384,758.6435284018517,-100.28830403089523,-113.26825952529907
-510.0,575.2834857106209,677.1855964064598,-78.51039445400238,-113.26825952529907
-100.0,748.8262972831726,823.4684283733368,-78.90008902549744,-125.01057595014572
-600.0,456.4627275466919,-102.72249376773834,-65.72044050693512,-104.88793587684631
-153.58099085092545,534.519594669342,-126.48376923799515,-57.41421902179718,-144.0893525481224
-106.0,566.8375062942505,-108.70763546228409,-68.71589982509613,-109.6239897608757
-318.0,390.84453213214874,-140.0893525481224,-63.59779703617096,-102.75202876329422
