random,PPO after,AC after,VPG after,baseline
-300.0,5453.770165741444,4494.827032804489,4122.16880774498,5503.476836144924
-553.5061480998993,5887.296957671642,4892.101573944092,4733.156341910362,5213.689837634563
-150.0,4823.594804942608,4216.741435110569,5315.354255020618,5108.497975707054
-300.0,5514.647010087967,5291.321706771851,4629.114366054535,4963.55865162611
-112.0,5351.801997601986,4463.935799300671,4823.800820231438,4921.826147675514
-178.63712579011917,4918.291032254696,4155.297750234604,4564.547929704189,4399.115412592888
-244.71969640254974,6026.975432813168,5218.016643881798,4277.757374703884,5829.846333920956
-300.0,5269.942433655262,5134.35681271553,4930.862497866154,5212.592235863209
-620.0,6000.561553835869,4032.8305565714836,4641.0116193294525,5935.904713869095
-631.0,5405.633670568466,4627.026629924774,5266.197933971882,4119.752126634121
-600.0,5548.882841229439,4421.758408606052,4538.510180711746,5358.485729277134
-582.1895670890808,3257.3786973953247,4811.0561554431915,4743.438761293888,5703.030862092972
-600.0,6015.438537359238,4128.1915029883385,4908.064703404903,5387.328752279282
-307.94334650039673,5360.767754971981,4753.6762753129005,4396.56578540802,5553.217580974102
-300.0,6032.666200339794,4282.490699291229,3734.292958319187,4526.0288952589035
-300.0,5085.535444140434,4643.336084485054,5425.286750733852,5315.84146887064
-294.87412214279175,5503.731965065002,4107.007363379002,4667.769948124886,6495.997748553753
-100.0,4962.719732820988,4704.837679564953,4576.538748025894,5371.788489103317
-102.00358629226685,4680.006220281124,4063.9786566495895,4986.159226536751,4874.184173107147
-134.6545032262802,5592.658797264099,4614.42974114418,4592.825650990009,5377.882666409016
-143.0,5389.462888896465,5141.651380836964,4346.1538942456245,5689.649288654327
-600.0,5371.33499622345,4587.92164093256,4660.8671979904175,5283.827223539352
-600.0,4985.658577144146,4204.5492414832115,5052.516820371151,5241.7644283771515
-100.0,5739.1015946269035,4522.198230743408,5372.050741076469,4937.577044308186
-100.0,5681.682846128941,4209.414174556732,4531.241159319878,4975.573876738548
-340.0,3639.0756397247314,4159.220646977425,4290.956596493721,4606.79656380415
-448.5430506467819,3571.4557374715805,4507.778613209724,4228.628343403339,4551.876570701599
-202.17798340320587,5134.878168404102,4369.796628534794,5064.681053102016,5891.685840904713
-600.0,5577.301464617252,4543.181558132172,4837.736426174641,4790.147478044033
-563.5061480998993,5200.971110343933,5538.2995463609695,5560.691497385502,4633.8080323934555
-600.0,5341.317263484001,5228.747302174568,4507.013557255268,6136.651585936546
-192.00358629226685,4831.263828039169,4497.467448294163,4584.638068675995,5762.300241649151
-102.18995642662048,5700.397954523563,4818.991273343563,4797.166262686253,5684.954944431782
-142.0,4984.145553410053,4516.944433569908,5022.760315358639,5164.374869585037
-300.0,4815.936164617538,4780.931142747402,4625.532534241676,6001.516359388828
-142.0,5335.6390053629875,5140.9516614079475,4976.63383936882,5469.208625674248
-290.0,5467.337664961815,4492.597257554531,4531.0496272444725,5011.62888610363
-100.0,4940.999632120132,3855.5791298151016,3807.899034380913,5920.847246289253
-331.0,5933.540991663933,5039.498807013035,4158.3015550374985,5588.961213350296
-142.0,5738.189621031284,4322.160196185112,4449.989335656166,5160.807193398476
-147.94334650039673,5408.110560059547,5074.6419733166695,4591.618922531605,5227.664581000805
-124.0,4924.332691788673,4827.691530585289,4465.1584379673,5566.920404136181
-300.0,4488.761695384979,4612.262829482555,4999.931850671768,6566.149455010891
-100.0,5363.889157652855,5568.6156777739525,4892.699288368225,5173.7037009596825
-130.0,5699.018694341183,4126.032725632191,4921.572811841965,5519.031780660152
-157.0,4732.892353773117,4514.746416211128,5043.767715275288,5346.440376758575
-112.0,5210.698879182339,4941.359104692936,4594.43687492609,5728.97105461359
-290.0,4501.389896214008,4134.45266187191,5961.670288383961,5653.978297650814
-300.0,5144.893995642662,3603.635066986084,4640.153487086296,5123.996422350407
-165.9180604815483,4611.459765791893,4269.1034081578255,4349.299731314182,5635.679527640343
-300.0,5199.210270702839,4954.788354039192,5269.950422108173,6025.589274406433
-100.0,5483.6700963974,4300.2082678079605,3986.0088540911674,5256.43780207634
-300.0,5223.669051170349,4597.230988740921,4913.306340098381,6189.4776366353035
-360.0,5339.413740634918,4058.189321577549,4575.591148018837,4707.531780540943
-180.0,3302.456277012825,4538.283754706383,4546.401594936848,4922.986774981022
-600.0,5128.305589914322,4115.68413823843,3458.5306012034416,5629.312563061714
-300.0,5149.9173620939255,4807.85008084774,4469.409760594368,4844.4789145588875
-511.6755133867264,5386.087398529053,4023.6596370339394,4409.178711891174,5636.362029671669
-100.0,3164.8637341856956,4882.229489326477,4275.561781048775,5703.183402061462
-125.44327664375305,5458.480449676514,4488.24283260107,4325.503274142742,5368.289051771164
-360.0,5349.529789328575,4896.992157936096,4052.362086236477,4947.441222608089
-331.0,4934.87835341692,4607.229345977306,4890.593924283981,5692.7956448197365
