ppo,ac,random,baseline
4360.97071313858,3738.674150764942,-673.2610090970993,4891.87303262949
4499.064846158028,3158.610429763794,-600.0,4973.979482412338
4539.333072602749,3643.193379640579,-114.0,4877.455416619778
4535.879164993763,3174.5729031562805,-600.0,5268.889520347118
4842.48374325037,3627.1442120075226,-113.0,4662.439052402973
4310.335004389286,2849.926540672779,-110.33580076694489,5229.790079176426
4492.661182403564,2910.6399404406548,-138.0,5835.6100298166275
4286.645291686058,3257.3842388391495,-100.0,5395.185096979141
4637.834530115128,3251.1593291163445,-290.0,4555.536437392235
3557.062608063221,3260.819646537304,-300.0,4345.700063824654
4328.523120880127,-108.6834305524826,-171.0,4166.758227527142
4327.623576641083,4083.9287388920784,-165.0,4818.414858698845
4696.467708945274,2821.1835121512413,-115.0,4092.765312433243
4193.745110750198,3814.2731994986534,-138.2610090970993,4589.9263916015625
4359.35583615303,4042.18050467968,-300.0,3507.742828786373
3093.0924313664436,2852.0599026679993,-100.0,4837.069817960262
4713.204795241356,3292.984883725643,-600.0,4369.429228305817
4198.515042960644,3923.611017346382,-360.0,4563.36671435833
4726.981789290905,3535.0402866601944,-100.0,4373.980036973953
4660.0463472008705,3403.9650489091873,-103.7029178738594,4363.513440489769
3906.194163918495,3257.369466781616,-300.0,5096.094911038876
4837.13196015358,3771.697358250618,-232.0,5129.777031421661
4193.317039012909,4129.809562087059,-113.2610090970993,4027.921550691128
4637.3806518912315,3603.1070192456245,-112.0,5913.68677097559
3880.0045692920685,3291.8543576598167,-142.0,4074.0378370285034
4858.957344532013,2800.2407509684563,-173.0,5069.344388246536
4117.81629794836,3162.827819108963,-665.0,4777.868664443493
4232.462006747723,-103.0,-100.0,4709.052888393402
4877.122653722763,2851.763036966324,-112.7029178738594,5830.1943083405495
4550.050899267197,2378.476632833481,-140.0,4796.933571457863
4547.979530096054,-103.0,-165.0,4671.092704534531
4445.187935590744,3219.551536500454,-600.0,4846.897558689117
4815.24982380867,2926.8413747549057,-360.0,4960.661216914654
3725.3378676772118,3336.3339544534683,-135.0,4643.64012080431
4872.944818973541,-109.90971612930298,-340.0,-103.0
4575.106777250767,3611.591331422329,-290.0,4926.110606431961
4465.080853044987,3464.3775935173035,-128.0,4786.282068014145
4316.555925369263,-103.0,-140.0,6085.507395088673
3358.588456571102,3530.9093313217163,-114.0,5480.87143021822
4257.452218532562,3499.619213104248,-140.0,5327.759591281414
4396.6808205246925,3234.498346209526,-135.0,4236.549656689167
3742.0601462721825,3757.362035036087,-101.56955283880234,4495.072533071041
4516.97414380312,2945.2603009939194,-510.0,4714.8132229447365
4321.45680385828,2783.362899541855,-600.0,4207.065488219261
2798.09048306942,3421.190829575062,-131.0,4482.296667575836
4689.39003932476,3225.8808177113533,-150.55886900424957,4636.502725660801
4051.33400028944,4038.232722580433,-138.0,4596.738890230656
4366.77835059166,3976.982207417488,-300.0,5667.611490607262
4660.742189049721,3741.1049268245697,-120.7029178738594,4039.913589656353
4634.6611084342,3401.951633155346,-300.0,5049.29098367691
2149.981009244919,2580.3321365118027,-108.55886900424957,5159.4887300133705
4351.421044528484,3561.1391491889954,-163.2610090970993,4409.0069190859795
3954.331425845623,-103.0,-665.0,5062.041686356068
4705.475070178509,3362.181521832943,-112.0,5048.991940140724
4613.7449905872345,3343.223040997982,-340.0,5246.65091407299
4373.230024397373,3786.6120393276215,-105.7029178738594,3667.358485162258
4456.579004943371,2754.5758597254753,-131.14605128765106,6111.505477845669
4717.743845403194,2544.581622540951,-290.0,5171.089496850967
4303.488397419453,3006.851463317871,-300.0,3944.945606946945
3195.949601829052,3161.9700150489807,-126.55886900424957,5185.502795577049
3607.2170931100845,3519.3880429267883,-600.0,4388.469075620174
4457.852456390858,3593.082292199135,-100.58718228340149,-103.0
4659.559226334095,3510.9618922472,-600.0,5537.92672008276
4477.078189253807,3422.754871547222,-123.18360251188278,5262.259556591511
4617.927870452404,-100.54666316509247,-630.7029178738594,5240.96978610754
-108.20077288150787,2617.697528362274,-100.0,4698.841138184071
4631.7825491428375,3768.6865078806877,-683.0,4219.034758269787
4922.164359867573,3715.7080252170563,-142.0,5044.704805910587
3577.9017991423607,3467.344563782215,-132.0,4728.203152835369
3275.4347353577614,3224.053389787674,-112.0,4362.9831238389015
4632.410153687,3554.7678369879723,-130.7029178738594,4568.286327719688
4420.426098585129,3410.6298853754997,-158.0,4451.157093763351
4472.130073964596,3211.1477029919624,-620.0,-103.0
4829.9598306417465,-109.69095051288605,-108.0,5638.729386150837
4519.263588249683,3231.339919090271,-300.0,4374.888697981834
4589.272049605846,2899.0935648679733,-600.0,5089.487394571304
4264.498903572559,3805.6782786250114,-100.0,5429.078432023525
4748.103691875935,3875.7126705646515,-600.0,5810.628458797932
4278.856804490089,2577.789514899254,-112.7029178738594,4350.964897751808
4238.54666441679,3135.0619936585426,-123.0,4461.4707860946655
4348.404902637005,3871.5399617552757,-125.7029178738594,4532.661391198635
4751.177069067955,2893.1710352301598,-600.0,4908.524189054966
3847.6735742092133,-120.80851429700851,-150.94427871704102,4724.545276582241
4189.719037592411,2639.2246853113174,-155.2610090970993,5099.708291769028
3906.9366193413734,3318.349823951721,-600.0,5158.222481191158
3781.913476705551,3170.279336810112,-340.0,5156.148184478283
-103.0,3900.724558055401,-100.0,5399.647908687592
4524.689974844456,2733.7004341483116,-300.0,5433.7208595871925
3830.207741677761,3298.5189332962036,-112.7029178738594,4816.294653296471
4247.63908547163,2543.1234033703804,-600.0,5202.325038254261
4735.719189167023,3520.3363496661186,-100.0,4818.464474380016
4252.331804454327,-122.6582819223404,-100.0,4012.975417435169
2796.6345807909966,2821.276374220848,-340.0,4464.085806012154
4311.178133010864,2765.5346201062202,-155.0,3728.4637110829353
4860.666390776634,3456.765583693981,-112.0,3743.5055491924286
4724.558219969273,3960.296252667904,-183.9639269709587,5221.44232493639
4569.752165257931,2393.7922364473343,-150.55886900424957,4782.467580616474
4778.497075915337,3469.221165060997,-109.8481913805008,4622.783028423786
4604.807288110256,3208.510866999626,-300.0,-140.44004261493683
3703.6423681378365,3226.4939246177673,-100.0,4225.985465884209
4317.870463311672,3041.269244670868,-128.2610090970993,4990.919042170048
4494.608160197735,3313.4676620960236,-600.0,4393.4024359583855
4010.8734351992607,3182.189137637615,-112.7029178738594,5326.698966920376
4621.66380995512,3906.9963859915733,-100.0,5333.8276980519295
4282.657260775566,3162.832375705242,-366.68437469005585,4569.7921776771545
4708.642876565456,3304.26131439209,-103.0,4329.034918129444
4720.2650029063225,-103.0,-180.0,4473.202543795109
4607.146847307682,3177.5543503165245,-681.8198781013489,5127.4625124931335
4714.643795371056,3184.7108587622643,-600.0,4533.442136287689
4860.005617856979,3255.717564404011,-131.0,-103.0
4673.41167730093,3423.090803861618,-510.0,5155.847025036812
4244.523579120636,3250.96055328846,-100.0,5303.622282683849
5091.54032510519,2608.26858574152,-100.0,4864.549910366535
4146.967183351517,4016.3273383378983,-150.0,5036.850307524204
3261.1492820978165,3348.8829899430275,-165.55886900424957,4412.72628647089
4591.092332065105,3616.5155205726624,-183.0,5051.041769742966
4815.714319825172,-111.32182264328003,-665.0,4774.610238134861
4530.53560090065,3985.872625231743,-100.0,4149.9570997953415
4849.417767584324,3101.4684497117996,-135.9639269709587,4696.5290867090225
4290.006610631943,3988.927611529827,-133.0,5684.648237347603
3054.3825184702873,3347.1940229535103,-600.0,5395.588177621365
4503.120186507702,3773.003695189953,-131.0,5025.6272567510605
3887.294199168682,3057.0582127571106,-100.0,4493.000230252743
4735.632087051868,3731.707889199257,-146.2610090970993,5078.905748188496
4276.422693789005,3359.5643495321274,-100.0,4608.890961050987
4599.741828978062,3653.345231294632,-100.0,4564.822672903538
3810.311794102192,3584.490750312805,-360.0,4869.128168344498
4168.156541228294,3456.689512729645,-150.0,4829.732983648777
4190.249005556107,3094.059658765793,-600.0,4651.190773546696
3272.926462292671,2990.2532742619514,-290.0,3739.2806471586227
-100.0,3560.0745018720627,-600.0,5124.9416744709015
4278.336084783077,3452.36213350296,-112.0,5561.540071547031
4359.4108030200005,3073.9289301633835,-116.58718228340149,5654.5704156160355
3166.5591334700584,3645.250131249428,-100.0,4490.63991600275
4596.653034567833,3338.7447271347046,-119.0,4846.769410789013
4351.86358076334,3051.296498656273,-103.96392697095871,4432.398340880871
4628.868263661861,3220.784523308277,-673.2610090970993,4737.047599077225
3569.0231251120567,-103.0,-133.0,4768.107744753361
