ppo,ac,random,baseline
3279.4771893024445,944.8630494475365,-292.6826868057251,-135.23813396692276
3836.6587656140327,-123.71403980255127,-171.0,1290.1673183441162
4420.9472199082375,1464.277609527111,-171.0,2855.4122542738914
3765.8663004636765,1351.53635764122,-600.0,2818.367863178253
3518.342962682247,-135.64088118076324,-119.0,1596.33354896307
3340.6576840281487,802.3375000953674,-138.0,1885.918526828289
3554.1987503767014,910.660559296608,-171.0,2128.2924280762672
3475.3422353863716,2227.466295540333,-300.0,2332.5501935482025
2988.2071127295494,1102.5814555883408,-129.0,2140.2835377454758
2836.0724908709526,545.188939332962,-124.0,1576.366830766201
3978.3010924458504,1563.6440868377686,-100.0,2680.891471505165
3510.9331157803535,802.3803901672363,-100.0,1600.7505629062653
3699.401560664177,930.5092497467995,-171.0,2708.9778497219086
3594.9239627718925,-101.92556673288345,-150.0,1697.160960972309
3476.6227182745934,-104.53615921735764,-171.0,3039.922612965107
3706.7790769934654,626.3511385321617,-300.0,2714.077726006508
2115.6566024422646,-104.64185166358948,-620.0,2248.2316477298737
3392.83356821537,1823.7747526168823,-300.0,1452.7766664028168
2686.7060112953186,1941.9456951618195,-360.0,1553.1177644729614
2321.6111345887184,893.9887695908546,-290.0,1793.2192478775978
3653.500486791134,1554.3631817698479,-171.74339032173157,1160.223652124405
3541.706568002701,1138.3508457541466,-100.0,2205.5659116506577
3542.5825803875923,1944.1649622321129,-157.0,2245.5481083393097
3674.7607030272484,1588.9136755466461,-112.0,2728.3217046260834
3634.9246633648872,755.0327253341675,-600.0,1750.7706379294395
3804.267771065235,2167.2855424284935,-364.75176191329956,1496.579702079296
2617.4023493528366,1095.4531898498535,-340.0,1556.5941680073738
3631.384031891823,1151.035841524601,-620.0,-117.73273366689682
3184.108235359192,-122.14576935768127,-600.0,2196.9069662094116
4061.235797405243,2302.3900555968285,-200.0,2440.6533830165863
3837.0106056928635,949.7813782095909,-100.0,3051.6285251379013
4528.98999196291,1456.7074955105782,-100.0,-101.89397770166397
3706.229791045189,1407.840117573738,-117.0,2716.4766805171967
3689.923661470413,1685.0397697091103,-156.29427433013916,1736.6065365672112
4172.948451220989,1598.2709233164787,-100.0,1054.828285753727
2158.247601211071,1425.9484285116196,-115.90203332901001,1977.675892174244
3584.70090842247,-114.55442190170288,-600.0,1697.9517068862915
2657.6142751574516,-105.78557002544403,-131.0,2431.7026166915894
3892.952510714531,1445.44807690382,-180.0,1904.417874634266
2560.5427074432373,1220.3702303767204,-127.55402898788452,2160.1609489917755
3974.489854454994,958.9765219688416,-119.0,2371.191069126129
2737.522482275963,1525.829984664917,-301.96189069747925,2592.1275749206543
3127.8468633294106,-114.8154925107956,-136.96189069747925,2094.270836889744
3240.385992705822,1097.6266798377037,-131.0,2262.4794890880585
3377.914111316204,1318.2693924307823,-100.0,3213.396426141262
3242.1956485509872,529.4169327616692,-300.0,1136.0365322232246
3417.6291546821594,-114.3679980635643,-196.60466313362122,1871.570549070835
3309.5707042217255,1300.9448211789131,-600.0,1913.9651151299477
3550.391940176487,1646.689397096634,-130.96189069747925,2127.6974560022354
2109.42915725708,1208.525162935257,-154.55402898788452,2354.6998757123947
4354.680816054344,1064.2688320875168,-189.59213829040527,1513.8725547790527
3573.6062421798706,1568.3897271752357,-112.0,1668.2964131832123
-100.0,997.6090598702431,-600.0,2331.4748395085335
4234.452612936497,-100.97345864772797,-600.0,3367.0064918398857
3365.270356476307,1354.6083441972733,-300.0,1122.0534083247185
3520.5341140031815,1616.0849484205246,-150.0,2706.8904197216034
3788.1457360982895,1742.2233763933182,-595.5921382904053,2481.6409339904785
3644.8272824287415,1224.6324830055237,-127.0,1662.6412069797516
3767.9923211336136,-148.13376718759537,-290.0,1811.7929944992065
2901.998427927494,-109.8663409948349,-209.52766799926758,2119.3109842538834
2960.3872286081314,919.3508557677269,-340.0,1711.4597817659378
3510.65233117342,1497.1800271868706,-300.0,1607.280263543129
3624.860273361206,1943.106731891632,-100.0,1265.222517132759
3913.193834364414,-135.24636232852936,-123.0,1915.0801957249641
3520.0856894254684,1719.2184965610504,-600.0,2108.6358603835106
4154.283095121384,-134.22476720809937,-361.96189069747925,1571.5198981165886
3369.821432054043,1901.2888833284378,-340.0,-129.6330268383026
3902.632819235325,1495.8843394517899,-300.0,2456.9123915433884
4051.9536160826683,-131.2400814294815,-180.0,869.5072922706604
3308.160842835903,1734.5206291079521,-125.59213829040527,2380.998357772827
3618.3461570739746,1374.229183614254,-122.96189069747925,2040.458706498146
3343.225234210491,1393.2800046801567,-300.0,2090.956857264042
3208.2868909835815,1949.533222913742,-300.0,1961.3471171855927
3526.7162105441093,2055.7222422361374,-101.12242949008942,1395.6891322135925
3554.795461833477,1670.6191844940186,-600.0,1836.540144622326
3311.6718388795853,1352.997149348259,-124.0,1883.0272668600082
3422.684128522873,1095.5166643857956,-100.0,2577.8816699385643
-161.4828028678894,1189.1808497905731,-300.0,1999.2388328909874
3718.0021085739136,-109.05058562755585,-300.0,2392.8727717995644
3498.657258749008,1723.8069558143616,-308.5540289878845,2264.5269913077354
3502.3772629499435,1018.3739124536514,-107.96189069747925,2268.132616817951
3968.12955647707,-102.70330905914307,-129.0300464630127,1773.9717950224876
-100.0,-126.38510203361511,-100.0,2142.2732884287834
3555.968251287937,1426.375032544136,-142.0,2180.78029358387
2896.4623703956604,1128.9643287062645,-340.0,2621.2601996064186
3374.571121573448,-118.79596388339996,-200.0,1934.2968245744705
-109.83718633651733,1101.8411796689034,-132.96189069747925,1940.9383538365364
4372.406127393246,1972.8379368185997,-135.59213829040527,1270.4686826467514
3363.5594339370728,1466.2102413773537,-376.99193716049194,1477.682250380516
3868.5160402059555,1136.0529226660728,-679.1144106388092,1878.0801181793213
2591.834879398346,1347.2879685759544,-131.59213829040527,-101.6015573143959
3557.045917034149,-106.86646223068237,-165.96189069747925,3333.106649696827
4174.855709075928,1682.5091824531555,-100.0,2562.6489641666412
3372.49141395092,1328.0006704330444,-600.0,2522.697654426098
4427.052408337593,1303.1846727728844,-120.0300464630127,1702.614338517189
4155.828616678715,584.7853129506111,-620.0,1929.7544113993645
2859.2518788576126,1156.9779455065727,-290.0,2600.1043572425842
3181.0969724059105,-108.06467604637146,-600.0,3027.78060233593
3999.6673330664635,1600.930925667286,-144.55402898788452,2398.181900858879
3545.518562555313,1318.893167436123,-300.0,1694.3577944040298
-119.31627416610718,1753.8322323560715,-102.04625487327576,-132.02534365653992
2727.8823887109756,1259.1891084313393,-600.0,2177.754811644554
3337.7158277630806,-120.41145408153534,-300.0,2250.234608769417
4332.485925018787,1215.3630595207214,-290.0,2077.547582924366
3837.8423721194267,1439.8170248270035,-100.0,1780.5141394734383
-100.0,-105.51784014701843,-300.0,1863.216274857521
4186.787566661835,1028.6205248832703,-104.0,1703.9088872671127
3618.1393327713013,1620.2201102375984,-620.0,2598.310424745083
3485.5865538716316,1070.4367802739143,-300.0,2698.47050011158
3424.3946793675423,-109.82601988315582,-600.0,2759.527583003044
3855.947391271591,1320.2577846050262,-135.96189069747925,2804.6371772289276
-139.04380559921265,-126.78120648860931,-300.0,1786.2773577570915
